service_date,program,region,people_served,sessions
2025-02-22,Case management,North,72,6
2025-07-28,Events,East,36,6
2025-11-22,Events,North,65,5
2025-08-28,Outreach,South,63,7
2025-06-05,Workshops,South,8,4
2025-03-04,Workshops,North,15,5
2025-08-07,Workshops,East,88,8
2025-02-11,Outreach,West,32,8
2025-02-07,Events,South,91,7
2025-08-25,Workshops,East,12,1
2025-05-02,Workshops,West,42,7
2025-02-02,Events,North,42,6
2025-08-05,Workshops,West,20,5
2025-06-27,Outreach,West,24,6
2025-05-23,Case management,East,42,7
2025-08-12,Workshops,North,8,4
2025-07-28,Events,East,6,2
2025-04-10,Case management,North,35,5
2025-11-17,Workshops,North,18,6
2025-02-14,Case management,North,2,1
2025-03-14,Events,West,5,1
2025-02-10,Workshops,South,40,4
2025-03-22,Case management,North,48,4
2025-03-30,Case management,North,36,3
2025-04-11,Case management,East,10,2
2025-08-18,Events,East,49,7
2025-03-01,Outreach,South,28,4
2025-07-27,Workshops,North,6,1
2025-08-12,Outreach,West,54,6
2025-01-18,Events,East,60,6
2025-07-11,Workshops,East,42,7
2025-06-29,Workshops,North,32,4
2025-11-18,Events,West,40,5
2025-05-25,Workshops,North,80,8
2025-10-10,Workshops,North,12,2
2025-01-18,Workshops,West,48,4
2025-08-16,Workshops,East,9,3
2025-08-25,Events,West,96,8
2025-06-13,Events,North,9,1
2025-04-29,Outreach,South,24,3
2025-05-13,Outreach,North,27,3
2025-10-19,Case management,North,5,1
2025-04-15,Workshops,East,66,6
2025-08-07,Workshops,North,55,5
2025-01-02,Workshops,East,24,3
2025-08-18,Workshops,South,14,2
2025-06-01,Case management,West,6,3
2025-08-21,Workshops,North,40,8
2025-04-20,Case management,West,35,5
2025-09-03,Outreach,West,24,3
2025-05-29,Case management,East,8,2
2025-05-24,Events,South,52,4
2025-06-19,Case management,West,64,8
2025-09-29,Case management,North,32,8
2025-07-21,Workshops,East,11,1
2025-02-02,Workshops,West,6,2
2025-01-27,Events,East,20,5
2025-05-30,Case management,South,56,8
2025-08-09,Workshops,South,26,2
2025-11-29,Case management,East,30,3
