order_date,region,product_category,units_sold,revenue_usd
2025-08-18,South,Software,44,5886.02
2025-11-23,North,Services,59,9503.28
2025-07-23,North,Services,22,2143.36
2025-05-27,South,Software,31,5117.59
2025-06-21,South,Software,57,8811.51
2025-12-03,North,Services,45,8879.37
2025-04-03,East,Services,13,2394.01
2025-07-19,West,Software,37,1943.49
2025-02-05,East,Hardware,5,871.60
2025-03-11,South,Services,44,6000.20
2025-07-09,South,Support,53,4757.05
2025-11-20,East,Training,13,877.67
2025-03-16,East,Training,54,3113.69
2025-07-28,South,Services,43,4230.87
2025-06-27,South,Hardware,57,6865.82
2025-09-18,South,Training,30,4696.95
2025-12-02,East,Software,23,3408.50
2025-03-04,West,Software,58,8169.40
2025-10-14,North,Hardware,34,1670.73
2025-08-10,South,Training,30,3162.32
2025-06-09,North,Hardware,26,2098.95
2025-11-18,South,Training,52,10365.82
2025-02-28,South,Software,21,896.33
2025-12-11,South,Software,4,325.06
2025-02-25,East,Software,39,4654.46
2025-07-14,East,Services,46,7733.55
2025-01-06,East,Training,49,4234.54
2025-09-10,South,Hardware,5,807.79
2025-08-30,North,Services,6,648.62
2025-07-25,South,Support,13,2169.67
2025-09-15,South,Services,12,1922.10
2025-02-18,East,Services,16,2256.71
2025-08-10,South,Software,51,8368.24
2025-09-17,West,Training,21,3154.09
2025-03-25,West,Services,51,8144.27
2025-10-19,West,Training,50,9622.40
2025-01-11,North,Services,2,209.77
2025-11-15,West,Software,20,2162.07
2025-12-01,North,Services,34,2575.79
2025-03-26,East,Hardware,58,8616.22
2025-09-03,East,Training,42,7836.30
2025-03-23,West,Software,43,1580.24
2025-05-11,East,Training,30,2702.65
2025-11-27,East,Support,33,4450.25
2025-08-27,South,Training,1,71.63
2025-04-19,North,Training,57,5479.92
2025-09-16,East,Hardware,56,9851.16
2025-10-26,East,Training,38,7304.28
2025-11-14,South,Training,13,1415.54
2025-02-14,East,Support,20,827.60
2025-09-24,East,Software,2,387.39
2025-03-05,West,Training,59,7007.30
2025-06-02,East,Hardware,7,298.97
2025-02-26,East,Hardware,57,9994.59
2025-12-26,West,Support,23,1834.66
2025-09-26,East,Software,59,9325.40
2025-04-23,East,Hardware,57,3114.05
2025-06-17,East,Hardware,27,2242.75
2025-09-10,South,Hardware,20,2652.41
2025-08-20,South,Hardware,25,3251.71
2025-06-01,West,Hardware,18,2488.00
2025-02-25,West,Software,41,4700.34
2025-02-13,North,Support,51,2465.15
2025-03-06,East,Hardware,25,4548.96
2025-10-28,East,Training,5,267.05
2025-05-18,West,Hardware,26,1740.68
2025-10-19,South,Services,42,7445.74
2025-01-01,West,Hardware,44,3274.58
2025-09-13,South,Services,40,7029.21
2025-08-01,East,Training,50,9064.34
2025-05-16,North,Hardware,30,4513.27
